Model,Pack,En,EV,Cla,Att,Rel,Global
ChatGPT-4o,62.86,41.76,41.11,70.67,40.00,40.00,49.40
ChatGPT-o3,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Claude3.7,100.00,100.00,100.00,96.19,99.02,97.33,98.76
DeepSeek(R1),100.00,95.00,90.00,95.21,88.90,87.00,92.69
Gemini-2.5-Pro-Preview-05-06,100.00,100.00,98.65,100.00,99.02,97.71,99.23
Grok3,82.86,71.43,62.74,87.55,77.92,61.59,74.01
Llama4,98.75,100.00,100.00,99.02,99.63,83.54,96.82
Mistral,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Qwen3,100.00,100.00,99.35,95.71,94.56,96.33,97.66
Grand Total,93.83,89.80,87.98,93.82,88.78,84.83,89.84
