Model,IQR_ParamRichness,Ret. (%),LexDiv,+,-- / # / None,camelCase (%)
ChatGPT-4o,2.00,35.27,0.80,100.00,0.00 / 0.00 / 0.00,100.00
ChatGPT-o3,1.25,39.58,0.80,100.00,0.00 / 0.00 / 0.00,100.00
Claude3.7,1.00,54.50,0.80,100.00,0.00 / 0.00 / 0.00,100.00
DeepSeek(R1),1.00,45.25,0.78,99.37,0.00 / 0.00 / 0.63,100.00
Gemini-2.5-Pro-Preview-05-06,1.00,33.54,0.79,98.32,0.42 / 1.26 / 0.00,100.00
Grok3,1.00,35.71,0.75,99.66,0.34 / 0.00 / 0.00,100.00
Llama4,0.00,12.31,0.81,100.00,0.00 / 0.00 / 0.00,100.00
Mistral,3.00,77.45,0.80,100.00,0.00 / 0.00 / 0.00,100.00
Qwen3,1.00,26.54,0.78,99.73,0.27 / 0.00 / 0.00,100.00
