Normalized_Method_Name,Global_Frequency
assignrole,70
updateprofile,69
verifyemail,63
deactivateaccount,53
resetpassword,53
cancelrequest,51
updatedetails,50
sendverificationemail,44
lockaccount,39
validatecredentials,39
generatepasswordresettoken,36
deactivate,35
publishlisting,34
validatepasswordstrength,33
acceptrequest,31
scheduletransport,30
updatepassword,30
cancel,30
updatelocation,29
sendnotification,29
updatestatus,29
validateroletransition,29
validate,28
updatelisting,27
updateprofiledetails,26
createlisting,25
addstage,25
schedule,24
validateemailformat,24
listproduct,23
activateaccount,21
createaccount,21
recordlogin,21
applyfilters,21
sendpasswordresetconfirmation,20
login,19
schedulecollection,19
